"Serviço","EC2-Outros($)","Relational Database Service($)","EC2-Instâncias($)","Tax($)","Elastic Load Balancing($)","Secrets Manager($)","Ubuntu Pro FIPS 18.04 LTS($)","CloudWatch($)","S3($)","CloudShell($)","Key Management Service($)","Service Catalog($)","DynamoDB($)","SNS($)","VPC($)","Custos totais($)"
"Total de Serviço","14.0693580565","7.3412890453","6.844770124","4.35","3.0670811513","0.1047888879","0.064","0.0379050951","0.0019638408","0.0000018926","0","0","0","0","0","35.8811580935"
"2023-09-01","","","","","","","","","","","","","","","","0"
"2023-10-01","","","","","","","","","","","","","","","","0"
"2023-11-01","14.0693580565","7.3412890453","6.844770124","4.35","3.0670811513","0.1047888879","0.064","0.0379050951","0.0019638408","0.0000018926","0","0","0","0","0","35.8811580935"
